Social Media,Favorite song,Party,Calories,Coffees
65.44,Drake-Gods_Plan,Federalists,322.11,11.06
101.12,Rage_Against_The_Machine-Testify,Know_It_Alls,288.17,8.44
116.95,Ed_Sheeran-Perfect,Federalists,479.4,4.97
117.29,Camila_Cabello-Havana,Federalists,449.25,6.18
116.52,Ed_Sheeran-Perfect,Federalists,510.98,4.57
123.45,Camila_Cabello-Havana,Know_It_Alls,270.8,15.73
116.25,Rage_Against_The_Machine-Testify,Know_Nothings,393.6,10.1
120.21,ACDC-ThunderStruck,Know_Nothings,509.25,7.1
122.75,Drake-Gods_Plan,Know_Nothings,283.92,12.99
100.99,Drake-Gods_Plan,Know_Nothings,417.5,9.47
117.98,Drake-Gods_Plan,Know_Nothings,530.79,7.01
121.93,Rage_Against_The_Machine-Testify,Know_Somethings,353.35,16.17
122.89,Camila_Cabello-Havana,Know_It_Alls,311.66,11.44
123.01,Rage_Against_The_Machine-Testify,Know_It_Alls,382.5,15.31
127.1,Drake-Gods_Plan,Know_Nothings,459.92,8.34
123.15,Drake-Gods_Plan,Know_Nothings,434.89,6.47
124.66,Drake-Gods_Plan,Federalists,421.59,6.75
117.44,Rage_Against_The_Machine-Testify,Know_Somethings,480.11,12.93
120.04,Rage_Against_The_Machine-Testify,Know_Somethings,350.21,16.22
115.75,ACDC-ThunderStruck,Federalists,470.51,5.59
111.77,ACDC-ThunderStruck,Federalists,459.55,6.01
120.5,Rage_Against_The_Machine-Testify,Know_Somethings,493.09,12.65
117.64,ACDC-ThunderStruck,Federalists,312.83,9.35
129.89,Ed_Sheeran-Perfect,Federalists,360.84,8.37
117.13,Other,Know_Nothings,427.43,9.2
124.55,Drake-Gods_Plan,Know_Nothings,346.21,11.35
115.91,Drake-Gods_Plan,Know_Nothings,358.05,11.07
123.48,Drake-Gods_Plan,Know_Nothings,271.02,12.88
116.87,Other,Federalists,384.97,7.68
118.31,Mozart-Die_Zauberflote,Know_It_Alls,358.21,13.6
122.67,Drake-Gods_Plan,Know_It_Alls,483.85,10.45
123.22,Ed_Sheeran-Perfect,Federalists,502.24,4.7
119.34,Camila_Cabello-Havana,Know_It_Alls,405.77,12.33
116.65,Other,Know_Nothings,379.04,10.48
117.62,Drake-Gods_Plan,Federalists,179.77,11.99
117.19,Ed_Sheeran-Perfect,Federalists,494.95,5.02
116.9,ACDC-ThunderStruck,Know_Nothings,461.06,8.32
119.35,Ed_Sheeran-Perfect,Federalists,349.97,8.57
122.38,ACDC-ThunderStruck,Federalists,228.51,11.78
121.17,Rage_Against_The_Machine-Testify,Know_It_Alls,382.31,12.96
124.46,Ed_Sheeran-Perfect,Know_Nothings,228.22,14.2
116.78,ACDC-ThunderStruck,Federalists,29.21,16.76
115.59,ACDC-ThunderStruck,Federalists,462.46,5.76
120.86,ACDC-ThunderStruck,Know_Nothings,376.35,10.67
123.07,Camila_Cabello-Havana,Know_It_Alls,435.48,11.6
119.35,Drake-Gods_Plan,Know_Nothings,461.87,8.24
119.74,ACDC-ThunderStruck,Federalists,401.56,7.29
116.58,Ed_Sheeran-Perfect,Know_It_Alls,432.52,11.66
123.28,ACDC-ThunderStruck,Federalists,628.45,1.65
116.86,Ed_Sheeran-Perfect,Federalists,282.33,10.34
116.79,ACDC-ThunderStruck,Federalists,240.48,11.52
129.74,Drake-Gods_Plan,Federalists,459.45,5.82
118.72,Mozart-Die_Zauberflote,Know_It_Alls,527.2,9.18
118.98,Rage_Against_The_Machine-Testify,Know_It_Alls,512.83,9.67
120.78,Drake-Gods_Plan,Know_Nothings,70.33,18.39
116.01,Rage_Against_The_Machine-Testify,Know_Nothings,360.91,10.96
119.92,Drake-Gods_Plan,Know_Nothings,447.45,8.69
120.88,Other,Know_Nothings,340.03,11.47
130.2,Other,Know_Somethings,436,14.09
118.26,Other,Know_Nothings,491.28,7.51
121.19,Rage_Against_The_Machine-Testify,Know_Nothings,327.8,11.69
115.17,Rage_Against_The_Machine-Testify,Know_Somethings,265.44,18.61
126.22,Drake-Gods_Plan,Know_Nothings,468.23,8.08
117.43,Ed_Sheeran-Perfect,Federalists,243.15,11.5
116.32,ACDC-ThunderStruck,Federalists,337.44,8.87
116.97,Drake-Gods_Plan,Know_Nothings,421.16,9.38
118.51,Camila_Cabello-Havana,Know_It_Alls,348.85,13.85
