Social Media,Favorite song,Calories,Coffees,USERID
118.88,Rage_Against_The_Machine-Testify,441.55,6.44,100000
117.25,Drake-Gods_Plan,321.05,11.95,100001
119.88,Drake-Gods_Plan,299.77,12.99,100002
119.58,Rage_Against_The_Machine-Testify,369.55,15.79,100003
128.97,Drake-Gods_Plan,431.04,9.25,100004
115.03,Camila_Cabello-Havana,343.34,13.87,100005
118.46,Ed_Sheeran-Perfect,389.35,10.09,100006
119.06,Camila_Cabello-Havana,322.86,14.45,100007
119.8,Ed_Sheeran-Perfect,387.59,7.67,100008
117.81,Rage_Against_The_Machine-Testify,354.36,16.2,100009
115.49,Rage_Against_The_Machine-Testify,339.82,16.62,100010
124.03,Drake-Gods_Plan,332.4,11.61,100011
114.34,Rage_Against_The_Machine-Testify,495.78,4.9,100012
118.84,Drake-Gods_Plan,503.9,7.45,100013
120.9,Ed_Sheeran-Perfect,415.56,6.98,100014
120.03,Camila_Cabello-Havana,233.65,16.79,100015
119.27,Camila_Cabello-Havana,389,12.73,100016
119.9,Camila_Cabello-Havana,358.91,13.56,100017
114.57,Drake-Gods_Plan,231.19,14.23,100018
120.39,Camila_Cabello-Havana,307.4,14.76,100019
120.62,Drake-Gods_Plan,365.89,13.43,100020
116.82,Other,268.31,13.3,100021
117.06,Drake-Gods_Plan,275.69,13.01,100022
119.64,Drake-Gods_Plan,238.76,13.89,100023
123.14,Camila_Cabello-Havana,475.15,10.49,100024
116.48,ACDC-ThunderStruck,603.15,2.09,100025
129.14,Mozart-Die_Zauberflote,401.54,7.37,100026
116.14,Other,383.07,7.74,100027
121.63,Ed_Sheeran-Perfect,213,12.2,100028
123.02,Camila_Cabello-Havana,304.79,12.31,100029
115.56,Mozart-Die_Zauberflote,373.47,8.01,100030
119.38,Drake-Gods_Plan,312.02,12.08,100031
122.88,Camila_Cabello-Havana,390.83,15.22,100032
123.88,ACDC-ThunderStruck,348.72,13.8,100033
115.97,Mozart-Die_Zauberflote,303.91,15,100034
119.48,ACDC-ThunderStruck,580.39,2.73,100035
121.2,Ed_Sheeran-Perfect,213.41,12.27,100036
120.34,Camila_Cabello-Havana,478.21,10.43,100037
122.77,Mozart-Die_Zauberflote,465.57,13.43,100038
118.37,Rage_Against_The_Machine-Testify,343.95,8.82,100039
127.32,Ed_Sheeran-Perfect,453.17,13.61,100040
120.49,Drake-Gods_Plan,615.37,4.4,100041
122.03,Drake-Gods_Plan,374.8,10.6,100042
118.97,Ed_Sheeran-Perfect,323.39,11.85,100043
123.38,Drake-Gods_Plan,420.56,9.3,100044
114.69,ACDC-ThunderStruck,511.75,4.43,100045
116.96,Mozart-Die_Zauberflote,219.99,16.91,100046
116.27,Other,307.64,12.27,100047
116.29,Mozart-Die_Zauberflote,470.4,10.66,100048
117.51,ACDC-ThunderStruck,308.24,9.68,100049
122.59,Camila_Cabello-Havana,230.08,14.14,100050
119.74,Ed_Sheeran-Perfect,409.16,7.1,100051
123.81,Other,235.25,16.66,100052
116.67,Drake-Gods_Plan,440.11,9,100053
115.23,Ed_Sheeran-Perfect,393.91,7.47,100054
119.87,Camila_Cabello-Havana,401.71,12.54,100055
125.9,Drake-Gods_Plan,323.03,16.82,100056
117.1,Rage_Against_The_Machine-Testify,377.19,15.63,100057
116.18,Rage_Against_The_Machine-Testify,351.69,11.02,100058
122.31,Drake-Gods_Plan,472.04,7.92,100059
116.47,Mozart-Die_Zauberflote,477.12,7.95,100060
114.61,Drake-Gods_Plan,425.64,9.19,100061
119.13,Drake-Gods_Plan,432.47,9.03,100062
117.34,Drake-Gods_Plan,387.1,10.28,100063
117.1,Camila_Cabello-Havana,382.19,12.85,100064
122.99,Ed_Sheeran-Perfect,387.23,10.29,100065
117.08,Other,419.43,9.5,100066
119.66,Drake-Gods_Plan,289.8,12.7,100067
117.3,Mozart-Die_Zauberflote,356.35,13.64,100068
118.53,Rage_Against_The_Machine-Testify,485.23,7.68,100069
119.14,Ed_Sheeran-Perfect,496.85,9.88,100070
118.33,Other,380.97,15.58,100071
119.76,Drake-Gods_Plan,424.79,9.36,100072
